MotionParameter,Scan,PC,Loadings
18.mean_eu,NB,PC1,-0.05
18.mean_eu,NB,PC2,0.21
18.mean_eu,NB,PC3,0.70
18.mean_eu,NB,PC4,0.30
18.mean_eu,NB,PC5,0.06
18.mean_eu,FE,PC1,-0.05
18.mean_eu,FE,PC2,0.83
18.mean_eu,FE,PC3,0.27
18.mean_eu,FE,PC4,0.04
18.mean_eu,FE,PC5,0.16
18.mean_eu,FI,PC1,-0.11
18.mean_eu,FI,PC2,0.86
18.mean_eu,FI,PC3,0.26
18.mean_eu,FI,PC4,0.06
18.mean_eu,FI,PC5,0.06
17.max_eu,NB,PC1,0.30
17.max_eu,NB,PC2,0.14
17.max_eu,NB,PC3,0.58
17.max_eu,NB,PC4,0.20
17.max_eu,NB,PC5,0.02
17.max_eu,FE,PC1,0.42
17.max_eu,FE,PC2,0.59
17.max_eu,FE,PC3,0.13
17.max_eu,FE,PC4,-0.05
17.max_eu,FE,PC5,0.11
17.max_eu,FI,PC1,0.34
17.max_eu,FI,PC2,0.65
17.max_eu,FI,PC3,0.08
17.max_eu,FI,PC4,0.07
17.max_eu,FI,PC5,0.06
16.mean_eu_rel,NB,PC1,0.90
16.mean_eu_rel,NB,PC2,0.04
16.mean_eu_rel,NB,PC3,0.06
16.mean_eu_rel,NB,PC4,-0.05
16.mean_eu_rel,NB,PC5,0.01
16.mean_eu_rel,FE,PC1,0.91
16.mean_eu_rel,FE,PC2,0.00
16.mean_eu_rel,FE,PC3,0.09
16.mean_eu_rel,FE,PC4,-0.04
16.mean_eu_rel,FE,PC5,-0.00
16.mean_eu_rel,FI,PC1,0.91
16.mean_eu_rel,FI,PC2,-0.03
16.mean_eu_rel,FI,PC3,0.06
16.mean_eu_rel,FI,PC4,0.06
16.mean_eu_rel,FI,PC5,0.01
15.max_eu_rel,NB,PC1,0.95
15.max_eu_rel,NB,PC2,-0.03
15.max_eu_rel,NB,PC3,0.03
15.max_eu_rel,NB,PC4,0.02
15.max_eu_rel,NB,PC5,-0.01
15.max_eu_rel,FE,PC1,0.94
15.max_eu_rel,FE,PC2,0.05
15.max_eu_rel,FE,PC3,-0.01
15.max_eu_rel,FE,PC4,-0.05
15.max_eu_rel,FE,PC5,0.04
15.max_eu_rel,FI,PC1,0.89
15.max_eu_rel,FI,PC2,0.03
15.max_eu_rel,FI,PC3,-0.04
15.max_eu_rel,FI,PC4,0.06
15.max_eu_rel,FI,PC5,0.05
14.mean_FD,NB,PC1,0.85
14.mean_FD,NB,PC2,0.10
14.mean_FD,NB,PC3,0.04
14.mean_FD,NB,PC4,0.01
14.mean_FD,NB,PC5,0.08
14.mean_FD,FE,PC1,0.87
14.mean_FD,FE,PC2,-0.02
14.mean_FD,FE,PC3,0.12
14.mean_FD,FE,PC4,0.07
14.mean_FD,FE,PC5,-0.06
14.mean_FD,FI,PC1,0.85
14.mean_FD,FI,PC2,-0.04
14.mean_FD,FI,PC3,0.09
14.mean_FD,FI,PC4,0.08
14.mean_FD,FI,PC5,0.10
13.max_FD,NB,PC1,0.89
